text,label
Gdzie znajdę fakturę za poprzedni miesiąc?,pytanie o fakturę
Chciałbym zwrócić zamówiony produkt.,zwrot
Czy prowadzicie rekrutację?,niezwiązane z produktem
Produkt dotarł uszkodzony.,reklamacja
Czy mogę otrzymać fakturę VAT?,pytanie o fakturę
Towar nie działa prawidłowo.,reklamacja
Proszę o wymianę uszkodzonego przedmiotu.,reklamacja
Proszę o instrukcję zwrotu towaru.,zwrot
Nie otrzymałem faktury z przesyłką.,pytanie o fakturę
Jak mogę dokonać zwrotu?,zwrot
Proszę o instrukcję zwrotu towaru.,zwrot
Proszę o instrukcję zwrotu towaru.,zwrot
"Zamówienie nie spełnia moich oczekiwań, chcę je odesłać.",zwrot
Proszę o instrukcję zwrotu towaru.,zwrot
Jakie są godziny pracy sklepu?,inne pytanie
Zgłaszam reklamację na wadliwy produkt.,reklamacja
Szukam pracy w waszej firmie.,niezwiązane z produktem
Gdzie wysłać paczkę ze zwrotem?,zwrot
Jaki jest status mojego zamówienia?,pytanie o zamówienie
Proszę o wymianę uszkodzonego przedmiotu.,reklamacja
"Numer śledzenia nie działa, proszę o pomoc.",pytanie o zamówienie
"Numer śledzenia nie działa, proszę o pomoc.",pytanie o zamówienie
Towar nie działa prawidłowo.,reklamacja
Szukam pracy w waszej firmie.,niezwiązane z produktem
Dostałem niekompletny zestaw.,reklamacja
Proszę o instrukcję zwrotu towaru.,zwrot
Zgłaszam reklamację na wadliwy produkt.,reklamacja
Szukam pracy w waszej firmie.,niezwiązane z produktem
Kiedy moje zamówienie zostanie wysłane?,pytanie o zamówienie
Czy mogę otrzymać fakturę VAT?,pytanie o fakturę
Nie otrzymałem faktury z przesyłką.,pytanie o fakturę
Produkt dotarł uszkodzony.,reklamacja
Czy realizujecie dostawy za granicę?,inne pytanie
Potrzebuję faktury za moje zamówienie.,pytanie o fakturę
Jak zaktualizować adres dostawy?,inne pytanie
Czy prowadzicie rekrutację?,niezwiązane z produktem
Jak zaktualizować adres dostawy?,inne pytanie
Jaki jest status mojego zamówienia?,pytanie o zamówienie
Proszę o duplikat faktury.,pytanie o fakturę
Czy mogę zmienić dane w moim koncie?,inne pytanie
Czy mogę zmienić dane w moim koncie?,inne pytanie
Chciałbym zaproponować współpracę marketingową.,niezwiązane z produktem
Proszę o instrukcję zwrotu towaru.,zwrot
Jaki jest status mojego zamówienia?,pytanie o zamówienie
Nie otrzymałem faktury z przesyłką.,pytanie o fakturę
Jaki jest status mojego zamówienia?,pytanie o zamówienie
Czy prowadzicie rekrutację?,niezwiązane z produktem
Mam pytanie o waszą politykę prywatności.,inne pytanie
Czy prowadzicie rekrutację?,niezwiązane z produktem
Zgłaszam reklamację na wadliwy produkt.,reklamacja
Produkt dotarł uszkodzony.,reklamacja
Produkt dotarł uszkodzony.,reklamacja
Macie oferty dla firm?,niezwiązane z produktem
Potrzebuję faktury za moje zamówienie.,pytanie o fakturę
Czy paczka już została nadana?,pytanie o zamówienie
Mam pytanie o waszą politykę prywatności.,inne pytanie
Proszę o wymianę uszkodzonego przedmiotu.,reklamacja
Szukam pracy w waszej firmie.,niezwiązane z produktem
Chciałbym zaproponować współpracę marketingową.,niezwiązane z produktem
Nie otrzymałem faktury z przesyłką.,pytanie o fakturę
Gdzie mogę śledzić moje zamówienie?,pytanie o zamówienie
Chciałbym zwrócić zamówiony produkt.,zwrot
Z kim mogę porozmawiać w sprawie partnerstwa?,niezwiązane z produktem
Szukam pracy w waszej firmie.,niezwiązane z produktem
"Zamówienie nie spełnia moich oczekiwań, chcę je odesłać.",zwrot
Macie oferty dla firm?,niezwiązane z produktem
Nie otrzymałem faktury z przesyłką.,pytanie o fakturę
"Zamówienie nie spełnia moich oczekiwań, chcę je odesłać.",zwrot
Proszę o wymianę uszkodzonego przedmiotu.,reklamacja
"Numer śledzenia nie działa, proszę o pomoc.",pytanie o zamówienie
Czy realizujecie dostawy za granicę?,inne pytanie
Czy mogę otrzymać fakturę VAT?,pytanie o fakturę
Gdzie znajdę fakturę za poprzedni miesiąc?,pytanie o fakturę
Mam pytanie o waszą politykę prywatności.,inne pytanie
Kiedy moje zamówienie zostanie wysłane?,pytanie o zamówienie
Jaki jest status mojego zamówienia?,pytanie o zamówienie
Mam pytanie o waszą politykę prywatności.,inne pytanie
"Numer śledzenia nie działa, proszę o pomoc.",pytanie o zamówienie
Czy prowadzicie rekrutację?,niezwiązane z produktem
Produkt dotarł uszkodzony.,reklamacja
Nie otrzymałem faktury z przesyłką.,pytanie o fakturę
Proszę o duplikat faktury.,pytanie o fakturę
Chciałbym zwrócić zamówiony produkt.,zwrot
Gdzie wysłać paczkę ze zwrotem?,zwrot
Gdzie mogę śledzić moje zamówienie?,pytanie o zamówienie
Jak zaktualizować adres dostawy?,inne pytanie
Jak zaktualizować adres dostawy?,inne pytanie
